t,y
0.000,2.0
0.100,2.205170918075648
0.200,2.42140275816017
0.300,2.6498588075760034
0.400,2.8918246976412703
0.500,3.148721270700128
0.600,3.422118800390509
0.700,3.713752707470477
0.800,4.025540928492468
0.900,4.35960311115695
1.000,4.718281828459045
